time,Hs (m),Tp (sec),DirPeak(deg),Depth(mm),H1/10 (m),Tmean (sec),Dmean (deg),source_file,Dmean
01/02/2024 09:00,0.4,8.5,241,18827,0.51,4.9,280,KNW02_Waves.xlsx,
01/02/2024 10:00,0.34,8.5,13,18804,0.43,5.3,358,KNW02_Waves.xlsx,
01/02/2024 11:00,0.31,8.5,193,18796,0.39,5.4,182,KNW02_Waves.xlsx,
01/02/2024 12:00,0.48,2,349,18807,0.61,3.2,55,KNW02_Waves.xlsx,
01/02/2024 13:00,0.18,7.5,17,18806,0.23,10.7,40,KNW02_Waves.xlsx,
01/02/2024 14:00,0.23,9.8,277,18807,0.29,9.7,276,KNW02_Waves.xlsx,
01/02/2024 15:00,0.18,6.7,301,18817,0.23,9.6,331,KNW02_Waves.xlsx,
01/02/2024 16:00,0.4,8.5,193,18806,0.51,6,198,KNW02_Waves.xlsx,
01/02/2024 17:00,0.42,7.5,70,18821,0.53,5.5,73,KNW02_Waves.xlsx,
01/02/2024 18:00,0.43,8.5,293,18812,0.55,5.8,325,KNW02_Waves.xlsx,
01/02/2024 19:00,0.48,8.5,257,18820,0.61,4.2,304,KNW02_Waves.xlsx,
01/02/2024 20:00,0.47,7.5,319,18819,0.6,5,27,KNW02_Waves.xlsx,
01/02/2024 21:00,0.57,8.5,257,18827,0.73,4.2,297,KNW02_Waves.xlsx,
01/02/2024 22:00,0.35,8.5,169,18825,0.44,6.6,99,KNW02_Waves.xlsx,
01/02/2024 23:00,0.36,7.5,205,18823,0.45,6.1,173,KNW02_Waves.xlsx,
02/02/2024 00:00,0.32,6.1,329,18823,0.4,6.8,6,KNW02_Waves.xlsx,
02/02/2024 01:00,0.38,2.3,179,18825,0.49,5.2,190,KNW02_Waves.xlsx,
02/02/2024 02:00,0.43,6.7,37,18830,0.55,4.6,1,KNW02_Waves.xlsx,
02/02/2024 03:00,0.29,8.5,77,18831,0.36,7,99,KNW02_Waves.xlsx,
02/02/2024 04:00,0.41,8.5,45,18826,0.53,5.3,28,KNW02_Waves.xlsx,
02/02/2024 05:00,0.17,8.5,73,18849,0.22,8.1,3,KNW02_Waves.xlsx,
02/02/2024 06:00,0.51,7.5,331,18845,0.65,5,354,KNW02_Waves.xlsx,
02/02/2024 07:00,0.13,11.5,17,18856,0.17,12.3,346,KNW02_Waves.xlsx,
02/02/2024 08:00,0.33,6.1,337,18856,0.42,6.8,37,KNW02_Waves.xlsx,
02/02/2024 09:00,0.77,5.5,-1,18860,0.97,5.8,-1,KNW02_Waves.xlsx,
02/02/2024 10:00,0.48,7.5,313,18852,0.61,4.1,328,KNW02_Waves.xlsx,
02/02/2024 11:00,0.29,8.5,293,18844,0.38,8.2,299,KNW02_Waves.xlsx,
02/02/2024 12:00,0.37,2,314,18838,0.47,3.4,283,KNW02_Waves.xlsx,
02/02/2024 13:00,0.15,18,213,18840,0.2,15.4,187,KNW02_Waves.xlsx,
02/02/2024 14:00,0.18,9.8,201,18850,0.23,12.5,159,KNW02_Waves.xlsx,
02/02/2024 15:00,0.21,11.5,61,18849,0.27,8,61,KNW02_Waves.xlsx,
02/02/2024 16:00,0.58,8.5,258,18863,0.73,4.8,263,KNW02_Waves.xlsx,
02/02/2024 17:00,0.72,8.5,217,18870,0.91,4.5,212,KNW02_Waves.xlsx,
02/02/2024 18:00,0.47,6.7,33,18880,0.6,4.9,331,KNW02_Waves.xlsx,
02/02/2024 19:00,0.51,8.5,135,18878,0.65,4,182,KNW02_Waves.xlsx,
02/02/2024 20:00,0.42,7.5,225,18890,0.54,5.4,204,KNW02_Waves.xlsx,
02/02/2024 21:00,0.51,8.5,233,18889,0.65,4.4,243,KNW02_Waves.xlsx,
02/02/2024 22:00,0.57,2,278,18881,0.73,3.6,215,KNW02_Waves.xlsx,
02/02/2024 23:00,0.34,7.5,9,18881,0.43,5.3,359,KNW02_Waves.xlsx,
03/02/2024 00:00,0.4,7.5,105,18899,0.51,4.4,95,KNW02_Waves.xlsx,
03/02/2024 01:00,0.46,1.9,247,18878,0.58,3.9,335,KNW02_Waves.xlsx,
03/02/2024 02:00,0.26,6.7,345,18881,0.33,6.2,325,KNW02_Waves.xlsx,
03/02/2024 03:00,0.39,8.5,29,18897,0.5,6.8,19,KNW02_Waves.xlsx,
03/02/2024 04:00,0.42,2,89,18898,0.53,4.2,95,KNW02_Waves.xlsx,
03/02/2024 05:00,0.25,2,68,18903,0.32,3.4,97,KNW02_Waves.xlsx,
03/02/2024 06:00,0.29,8.5,225,18911,0.37,5.7,202,KNW02_Waves.xlsx,
03/02/2024 07:00,0.15,11.5,121,18916,0.19,14.4,114,KNW02_Waves.xlsx,
03/02/2024 08:00,0.53,2,229,18917,0.67,4.1,344,KNW02_Waves.xlsx,
03/02/2024 09:00,0.62,8.5,177,18918,0.79,3.6,227,KNW02_Waves.xlsx,
03/02/2024 10:00,0.26,8.5,89,18906,0.33,6,88,KNW02_Waves.xlsx,
03/02/2024 11:00,0.44,7.5,165,18910,0.55,5.5,139,KNW02_Waves.xlsx,
03/02/2024 12:00,0.69,1.9,317,18912,0.88,3.2,189,KNW02_Waves.xlsx,
03/02/2024 13:00,0.61,8.5,117,18914,0.78,4.1,93,KNW02_Waves.xlsx,
03/02/2024 14:00,0.39,2.2,121,18912,0.5,4.1,110,KNW02_Waves.xlsx,
03/02/2024 15:00,0.36,8.5,265,18911,0.46,5.6,316,KNW02_Waves.xlsx,
03/02/2024 16:00,0.51,8.5,23,18923,0.65,5.7,15,KNW02_Waves.xlsx,
03/02/2024 17:00,0.55,2,157,18943,0.69,4,120,KNW02_Waves.xlsx,
03/02/2024 18:00,0.48,2,333,18938,0.61,3.5,20,KNW02_Waves.xlsx,
03/02/2024 19:00,0.56,8.5,321,18927,0.71,4.2,325,KNW02_Waves.xlsx,
03/02/2024 20:00,0.38,7.5,317,18948,0.49,5.4,324,KNW02_Waves.xlsx,
03/02/2024 21:00,0.25,8.5,249,18950,0.32,6,241,KNW02_Waves.xlsx,
03/02/2024 22:00,0.39,2.2,143,18949,0.5,3.6,209,KNW02_Waves.xlsx,
03/02/2024 23:00,0.21,3.6,168,18938,0.27,5.3,127,KNW02_Waves.xlsx,
04/02/2024 00:00,0.24,11.5,173,18944,0.3,9.9,127,KNW02_Waves.xlsx,
04/02/2024 01:00,0.3,8.5,269,18946,0.39,6.8,281,KNW02_Waves.xlsx,
04/02/2024 02:00,0.1,9.8,69,18952,0.13,14.9,101,KNW02_Waves.xlsx,
04/02/2024 03:00,0.34,8.5,265,18948,0.44,7.3,283,KNW02_Waves.xlsx,
04/02/2024 04:00,0.33,2.1,67,18963,0.42,4.6,355,KNW02_Waves.xlsx,
04/02/2024 05:00,0.2,2.3,133,18978,0.25,3.5,146,KNW02_Waves.xlsx,
04/02/2024 06:00,0.2,8.5,45,18986,0.25,11.4,47,KNW02_Waves.xlsx,
04/02/2024 07:00,0.18,18,261,18978,0.23,9.8,291,KNW02_Waves.xlsx,
04/02/2024 08:00,0.3,25,61,18988,0.38,5.7,43,KNW02_Waves.xlsx,
04/02/2024 09:00,0.4,2.2,57,18990,0.51,3.7,124,KNW02_Waves.xlsx,
04/02/2024 10:00,0.33,7.5,201,18974,0.42,6.2,205,KNW02_Waves.xlsx,
04/02/2024 11:00,0.17,9.8,61,18976,0.21,9.8,74,KNW02_Waves.xlsx,
04/02/2024 12:00,0.18,7.5,313,18970,0.23,6,335,KNW02_Waves.xlsx,
04/02/2024 13:00,0.11,6.1,257,18975,0.14,8,278,KNW02_Waves.xlsx,
04/02/2024 14:00,0.27,2.7,238,18992,0.34,4.7,293,KNW02_Waves.xlsx,
04/02/2024 15:00,0.17,11.5,125,18984,0.21,6.9,101,KNW02_Waves.xlsx,
04/02/2024 16:00,0.63,2,76,18987,0.81,3.9,46,KNW02_Waves.xlsx,
04/02/2024 17:00,0.52,2,57,19001,0.65,4,136,KNW02_Waves.xlsx,
04/02/2024 18:00,0.27,11.5,353,18992,0.34,6.4,5,KNW02_Waves.xlsx,
04/02/2024 19:00,0.22,8.5,353,19001,0.27,7.3,31,KNW02_Waves.xlsx,
04/02/2024 20:00,0.38,7.5,137,19003,0.48,6.1,78,KNW02_Waves.xlsx,
04/02/2024 21:00,0.23,3,341,19004,0.29,5.4,312,KNW02_Waves.xlsx,
04/02/2024 22:00,0.35,8.5,17,19000,0.45,5,13,KNW02_Waves.xlsx,
04/02/2024 23:00,0.45,8.5,103,19006,0.57,4.7,125,KNW02_Waves.xlsx,
05/02/2024 00:00,0.38,8.5,249,18999,0.49,4.7,251,KNW02_Waves.xlsx,
05/02/2024 01:00,0.42,8.5,109,19012,0.53,4.7,73,KNW02_Waves.xlsx,
05/02/2024 02:00,0.36,8.5,261,19011,0.46,6.5,219,KNW02_Waves.xlsx,
05/02/2024 03:00,0.33,7.5,221,19002,0.41,6.7,147,KNW02_Waves.xlsx,
05/02/2024 04:00,0.47,6.7,193,19029,0.59,4,237,KNW02_Waves.xlsx,
05/02/2024 05:00,0.17,7.5,55,19010,0.22,10.8,52,KNW02_Waves.xlsx,
05/02/2024 06:00,0.34,8.5,165,19035,0.43,5.8,179,KNW02_Waves.xlsx,
05/02/2024 07:00,0.24,2.2,241,19032,0.3,3.4,309,KNW02_Waves.xlsx,
05/02/2024 08:00,0.23,6.7,269,19029,0.29,10.9,239,KNW02_Waves.xlsx,
05/02/2024 09:00,0.18,7.5,107,19018,0.23,11.7,99,KNW02_Waves.xlsx,
05/02/2024 10:00,0.68,2.8,118,19020,0.86,4,92,KNW02_Waves.xlsx,
05/02/2024 11:00,0.71,3.6,22,19009,0.9,3.8,33,KNW02_Waves.xlsx,
05/02/2024 12:00,0.83,3.3,1,19015,1.05,3.4,47,KNW02_Waves.xlsx,
05/02/2024 13:00,0.59,8.5,289,19021,0.75,3.9,283,KNW02_Waves.xlsx,
05/02/2024 14:00,0.57,8.5,281,19005,0.72,4.6,267,KNW02_Waves.xlsx,
05/02/2024 15:00,0.75,1.9,89,19026,0.95,3.5,354,KNW02_Waves.xlsx,
05/02/2024 16:00,0.65,2.1,177,19033,0.82,3.6,292,KNW02_Waves.xlsx,
05/02/2024 17:00,0.38,2.5,69,19045,0.48,4.5,128,KNW02_Waves.xlsx,
05/02/2024 18:00,0.43,2.2,92,19042,0.54,3.4,74,KNW02_Waves.xlsx,
05/02/2024 19:00,0.51,6.7,170,19044,0.65,4.7,175,KNW02_Waves.xlsx,
05/02/2024 20:00,0.49,2.3,65,19052,0.63,3.9,71,KNW02_Waves.xlsx,
05/02/2024 21:00,0.66,8.5,281,19058,0.84,3.3,236,KNW02_Waves.xlsx,
05/02/2024 22:00,0.18,25,331,19070,0.23,10.9,266,KNW02_Waves.xlsx,
05/02/2024 23:00,0.27,11.5,177,19073,0.35,8,122,KNW02_Waves.xlsx,
06/02/2024 00:00,0.19,8.5,331,19077,0.24,10.6,3,KNW02_Waves.xlsx,
06/02/2024 01:00,0.32,7.5,287,19065,0.41,5.3,285,KNW02_Waves.xlsx,
06/02/2024 02:00,0.33,8.5,265,19079,0.42,4.4,223,KNW02_Waves.xlsx,
06/02/2024 03:00,0.42,7.5,137,19084,0.53,5,137,KNW02_Waves.xlsx,
06/02/2024 04:00,0.38,2.5,77,19100,0.48,4.8,98,KNW02_Waves.xlsx,
06/02/2024 05:00,0.16,11.5,177,19106,0.21,14.6,157,KNW02_Waves.xlsx,
06/02/2024 06:00,0.16,18,169,19114,0.2,16.3,166,KNW02_Waves.xlsx,
06/02/2024 07:00,0.13,25,155,19115,0.17,16.3,144,KNW02_Waves.xlsx,
06/02/2024 08:00,0.14,6.7,329,19128,0.17,8.8,323,KNW02_Waves.xlsx,
06/02/2024 09:00,0.21,2.5,237,19120,0.27,4.3,233,KNW02_Waves.xlsx,
06/02/2024 10:00,0.23,6.7,105,19128,0.3,5.5,131,KNW02_Waves.xlsx,
06/02/2024 11:00,0.27,8.5,357,19104,0.34,5.7,19,KNW02_Waves.xlsx,
06/02/2024 12:00,0.17,25,33,19121,0.22,8.3,2,KNW02_Waves.xlsx,
06/02/2024 13:00,0.36,8.5,73,19136,0.46,6.3,74,KNW02_Waves.xlsx,
06/02/2024 14:00,0.29,8.5,17,19126,0.37,5.3,28,KNW02_Waves.xlsx,
06/02/2024 15:00,0.34,7.5,309,19135,0.44,4.7,314,KNW02_Waves.xlsx,
06/02/2024 16:00,0.53,8.5,9,19148,0.67,5.1,8,KNW02_Waves.xlsx,
06/02/2024 17:00,0.45,6.7,173,19155,0.57,4.4,180,KNW02_Waves.xlsx,
06/02/2024 18:00,0.42,2,180,19148,0.54,4.1,253,KNW02_Waves.xlsx,
06/02/2024 19:00,0.44,8.5,103,19155,0.55,6.2,64,KNW02_Waves.xlsx,
06/02/2024 20:00,0.47,8.5,33,19153,0.6,4.5,23,KNW02_Waves.xlsx,
06/02/2024 21:00,0.71,7.5,83,19153,0.91,3.8,51,KNW02_Waves.xlsx,
06/02/2024 22:00,0.6,1.9,273,19161,0.76,3.2,300,KNW02_Waves.xlsx,
06/02/2024 23:00,0.4,8.5,169,19155,0.51,4.9,217,KNW02_Waves.xlsx,
07/02/2024 00:00,0.22,11.5,161,19161,0.28,7.1,175,KNW02_Waves.xlsx,
07/02/2024 01:00,0.36,6.1,333,19150,0.46,5.8,19,KNW02_Waves.xlsx,
07/02/2024 02:00,0.19,3,101,19150,0.24,6.2,96,KNW02_Waves.xlsx,
07/02/2024 03:00,0.21,8.5,49,19163,0.27,8,63,KNW02_Waves.xlsx,
07/02/2024 04:00,0.26,9.8,241,19168,0.33,9.9,189,KNW02_Waves.xlsx,
07/02/2024 05:00,0.12,9.8,61,19166,0.16,13.7,66,KNW02_Waves.xlsx,
07/02/2024 06:00,0.2,9.8,285,19168,0.25,5.8,288,KNW02_Waves.xlsx,
07/02/2024 07:00,0.28,2,247,19175,0.35,3.6,206,KNW02_Waves.xlsx,
07/02/2024 08:00,0.17,14,317,19178,0.21,8.6,301,KNW02_Waves.xlsx,
07/02/2024 09:00,0.19,8.5,269,19173,0.24,9.6,262,KNW02_Waves.xlsx,
07/02/2024 10:00,0.1,14,185,19162,0.13,15.8,154,KNW02_Waves.xlsx,
07/02/2024 11:00,0.16,6.7,61,19150,0.2,10.9,110,KNW02_Waves.xlsx,
07/02/2024 12:00,0.11,4.7,31,19144,0.14,7.4,43,KNW02_Waves.xlsx,
07/02/2024 13:00,0.12,14,169,19149,0.16,13.1,168,KNW02_Waves.xlsx,
07/02/2024 14:00,0.16,9.8,25,19139,0.2,8.9,20,KNW02_Waves.xlsx,
07/02/2024 15:00,0.25,7.5,21,19135,0.31,6.8,17,KNW02_Waves.xlsx,
07/02/2024 16:00,0.4,2.1,61,19140,0.51,4.7,142,KNW02_Waves.xlsx,
07/02/2024 17:00,0.56,7.5,338,19167,0.71,4.2,334,KNW02_Waves.xlsx,
07/02/2024 18:00,0.61,7.5,201,19147,0.78,3.8,159,KNW02_Waves.xlsx,
07/02/2024 19:00,0.46,8.5,117,19171,0.59,5.2,30,KNW02_Waves.xlsx,
07/02/2024 20:00,0.53,8.5,109,19160,0.68,4.7,85,KNW02_Waves.xlsx,
07/02/2024 21:00,0.65,1.9,293,19160,0.83,3.7,270,KNW02_Waves.xlsx,
07/02/2024 22:00,0.38,8.5,357,19155,0.48,6.4,15,KNW02_Waves.xlsx,
07/02/2024 23:00,0.33,7.5,168,19159,0.42,7.1,168,KNW02_Waves.xlsx,
08/02/2024 00:00,0.47,7.5,293,19161,0.6,4.6,304,KNW02_Waves.xlsx,
08/02/2024 01:00,0.51,8.5,313,19152,0.65,3.6,344,KNW02_Waves.xlsx,
08/02/2024 02:00,0.5,7.5,169,19149,0.64,3.4,164,KNW02_Waves.xlsx,
08/02/2024 03:00,0.29,8.5,233,19146,0.36,7.9,229,KNW02_Waves.xlsx,
08/02/2024 04:00,0.15,8.5,325,19163,0.19,10.4,342,KNW02_Waves.xlsx,
08/02/2024 05:00,0.24,8.5,125,19162,0.3,6.5,82,KNW02_Waves.xlsx,
08/02/2024 06:00,0.14,11.5,213,19171,0.17,12.8,235,KNW02_Waves.xlsx,
08/02/2024 07:00,0.29,5.1,313,19155,0.37,5.5,313,KNW02_Waves.xlsx,
08/02/2024 08:00,0.61,7.5,165,19158,0.77,5.1,183,KNW02_Waves.xlsx,
08/02/2024 09:00,0.2,18,105,19151,0.26,9.4,128,KNW02_Waves.xlsx,
08/02/2024 10:00,0.26,14,1,19138,0.34,7.2,13,KNW02_Waves.xlsx,
08/02/2024 11:00,0.24,8.5,177,19115,0.3,6,151,KNW02_Waves.xlsx,
08/02/2024 12:00,0.31,7.5,65,19115,0.4,5.3,58,KNW02_Waves.xlsx,
08/02/2024 13:00,0.48,2.2,66,19114,0.6,3.9,122,KNW02_Waves.xlsx,
08/02/2024 14:00,0.17,9.8,89,19099,0.22,12.6,98,KNW02_Waves.xlsx,
08/02/2024 15:00,0.23,8.5,331,19110,0.29,6.8,337,KNW02_Waves.xlsx,
08/02/2024 16:00,0.43,8.5,43,19113,0.55,5.1,32,KNW02_Waves.xlsx,
08/02/2024 17:00,0.39,8.5,249,19120,0.5,5,315,KNW02_Waves.xlsx,
08/02/2024 18:00,0.56,7.5,249,19112,0.72,3.9,262,KNW02_Waves.xlsx,
08/02/2024 19:00,0.21,11.5,177,19110,0.27,12.4,217,KNW02_Waves.xlsx,
08/02/2024 20:00,0.34,7.5,25,19097,0.43,5.1,8,KNW02_Waves.xlsx,
08/02/2024 21:00,0.3,8.5,177,19109,0.38,7.8,205,KNW02_Waves.xlsx,
08/02/2024 22:00,0.42,8.5,85,19116,0.54,5.8,78,KNW02_Waves.xlsx,
08/02/2024 23:00,0.44,6.1,113,19112,0.55,5.9,138,KNW02_Waves.xlsx,
09/02/2024 00:00,0.29,6.7,265,19112,0.37,6.7,325,KNW02_Waves.xlsx,
09/02/2024 01:00,0.37,7.5,257,19098,0.47,5.8,269,KNW02_Waves.xlsx,
09/02/2024 02:00,0.42,8.5,245,19106,0.54,5.2,262,KNW02_Waves.xlsx,
09/02/2024 03:00,0.3,8.5,129,19121,0.39,6.2,138,KNW02_Waves.xlsx,
09/02/2024 04:00,0.29,8.5,341,19121,0.36,6,354,KNW02_Waves.xlsx,
09/02/2024 05:00,0.17,9.8,325,19119,0.21,14.2,302,KNW02_Waves.xlsx,
09/02/2024 06:00,0.21,6.1,205,19133,0.27,8.2,247,KNW02_Waves.xlsx,
09/02/2024 07:00,0.4,2,349,19140,0.5,3.9,20,KNW02_Waves.xlsx,
09/02/2024 08:00,0.15,25,169,19138,0.19,16.9,182,KNW02_Waves.xlsx,
09/02/2024 09:00,0.32,7.5,355,19120,0.41,5.4,8,KNW02_Waves.xlsx,
09/02/2024 10:00,0.36,2.2,287,19120,0.45,3.8,343,KNW02_Waves.xlsx,
09/02/2024 11:00,0.21,8.5,313,19129,0.27,11.5,286,KNW02_Waves.xlsx,
09/02/2024 12:00,0.12,9.8,193,19116,0.15,13.1,189,KNW02_Waves.xlsx,
09/02/2024 13:00,0.42,2,313,19119,0.53,3.5,197,KNW02_Waves.xlsx,
09/02/2024 14:00,0.29,7.5,321,19132,0.38,7,340,KNW02_Waves.xlsx,
09/02/2024 15:00,0.33,2.5,341,19129,0.42,3.5,327,KNW02_Waves.xlsx,
09/02/2024 16:00,0.42,8.5,85,19149,0.53,6.1,108,KNW02_Waves.xlsx,
09/02/2024 17:00,0.48,8.5,31,19150,0.61,4.4,25,KNW02_Waves.xlsx,
09/02/2024 18:00,0.67,8.5,137,19159,0.85,3.8,98,KNW02_Waves.xlsx,
09/02/2024 19:00,0.44,8.5,337,19153,0.56,4.7,306,KNW02_Waves.xlsx,
09/02/2024 20:00,0.44,1.9,282,19165,0.55,3.5,114,KNW02_Waves.xlsx,
09/02/2024 21:00,0.51,8.5,277,19165,0.65,4,273,KNW02_Waves.xlsx,
09/02/2024 22:00,0.44,4.7,225,19156,0.56,5.3,188,KNW02_Waves.xlsx,
09/02/2024 23:00,0.63,8.5,293,19158,0.8,4,307,KNW02_Waves.xlsx,
10/02/2024 00:00,0.55,8.5,37,19157,0.7,4.6,336,KNW02_Waves.xlsx,
10/02/2024 01:00,0.18,8.5,129,19153,0.23,9.5,110,KNW02_Waves.xlsx,
10/02/2024 02:00,0.36,8.5,289,19147,0.45,5.1,284,KNW02_Waves.xlsx,
10/02/2024 03:00,0.39,8.5,149,19154,0.5,4.7,150,KNW02_Waves.xlsx,
10/02/2024 04:00,0.28,5.1,263,19167,0.36,6.9,278,KNW02_Waves.xlsx,
10/02/2024 05:00,0.29,3.3,33,19170,0.37,5.7,315,KNW02_Waves.xlsx,
10/02/2024 06:00,0.3,2.5,358,19184,0.39,4,314,KNW02_Waves.xlsx,
10/02/2024 07:00,0.22,14,221,19177,0.28,9.8,267,KNW02_Waves.xlsx,
10/02/2024 08:00,0.17,3.1,57,19185,0.22,5.1,67,KNW02_Waves.xlsx,
10/02/2024 09:00,0.31,8.5,257,19188,0.39,5.3,214,KNW02_Waves.xlsx,
10/02/2024 10:00,0.18,11.5,41,19168,0.23,7.1,45,KNW02_Waves.xlsx,
10/02/2024 11:00,0.18,9.8,37,19170,0.23,13.9,355,KNW02_Waves.xlsx,
10/02/2024 12:00,0.18,14,105,19163,0.23,13.3,111,KNW02_Waves.xlsx,
10/02/2024 13:00,0.2,7.5,202,19154,0.25,13.1,201,KNW02_Waves.xlsx,
10/02/2024 14:00,0.14,18,293,19164,0.18,8,344,KNW02_Waves.xlsx,
10/02/2024 15:00,0.44,2.2,285,19173,0.56,4.3,305,KNW02_Waves.xlsx,
10/02/2024 16:00,0.43,7.5,265,19168,0.55,6.2,326,KNW02_Waves.xlsx,
10/02/2024 17:00,0.42,2,101,19185,0.53,3.8,74,KNW02_Waves.xlsx,
10/02/2024 18:00,0.59,8.5,57,19187,0.75,3.5,27,KNW02_Waves.xlsx,
10/02/2024 19:00,0.41,8.5,329,19192,0.52,5.2,270,KNW02_Waves.xlsx,
10/02/2024 20:00,0.47,8.5,301,19201,0.59,4.9,301,KNW02_Waves.xlsx,
10/02/2024 21:00,0.52,8.5,165,19206,0.66,4.2,161,KNW02_Waves.xlsx,
10/02/2024 22:00,0.45,2.2,250,19202,0.58,4.2,260,KNW02_Waves.xlsx,
10/02/2024 23:00,0.35,2.1,334,19203,0.45,3.7,307,KNW02_Waves.xlsx,
11/02/2024 00:00,0.41,8.5,217,19206,0.52,6.1,172,KNW02_Waves.xlsx,
11/02/2024 01:00,0.48,2,257,19199,0.61,4.5,257,KNW02_Waves.xlsx,
11/02/2024 02:00,0.46,6.7,29,19232,0.58,5.8,345,KNW02_Waves.xlsx,
11/02/2024 03:00,0.4,6.1,269,19220,0.51,5,293,KNW02_Waves.xlsx,
11/02/2024 04:00,0.43,1.9,241,19218,0.55,3.8,335,KNW02_Waves.xlsx,
11/02/2024 05:00,0.23,8.5,93,19235,0.29,5.8,125,KNW02_Waves.xlsx,
11/02/2024 06:00,0.16,9.8,255,19239,0.21,8.7,261,KNW02_Waves.xlsx,
11/02/2024 07:00,0.32,5.1,69,19237,0.41,6.1,62,KNW02_Waves.xlsx,
11/02/2024 08:00,0.29,2.3,336,19240,0.37,4.6,287,KNW02_Waves.xlsx,
11/02/2024 09:00,0.24,7.5,73,19217,0.3,5.3,41,KNW02_Waves.xlsx,
11/02/2024 10:00,0.18,6.1,129,19218,0.22,8.6,110,KNW02_Waves.xlsx,
11/02/2024 11:00,0.23,6.1,65,19205,0.29,6.7,6,KNW02_Waves.xlsx,
11/02/2024 12:00,0.36,2,129,19201,0.46,3.1,133,KNW02_Waves.xlsx,
11/02/2024 13:00,0.21,18,189,19203,0.26,8.1,157,KNW02_Waves.xlsx,
11/02/2024 14:00,0.22,9.8,1,19200,0.27,8.4,336,KNW02_Waves.xlsx,
11/02/2024 15:00,0.12,9.8,187,19211,0.16,13.4,196,KNW02_Waves.xlsx,
11/02/2024 16:00,0.34,11.5,165,19204,0.44,5.1,148,KNW02_Waves.xlsx,
11/02/2024 17:00,0.36,2.1,242,19211,0.46,4.3,265,KNW02_Waves.xlsx,
11/02/2024 18:00,0.51,2.2,191,19208,0.65,4,143,KNW02_Waves.xlsx,
11/02/2024 19:00,0.28,8.5,345,19228,0.35,7.6,337,KNW02_Waves.xlsx,
11/02/2024 20:00,0.34,8.5,241,19223,0.44,5.4,259,KNW02_Waves.xlsx,
11/02/2024 21:00,0.43,2.5,328,19227,0.54,4,288,KNW02_Waves.xlsx,
11/02/2024 22:00,0.38,8.5,173,19219,0.48,5.1,177,KNW02_Waves.xlsx,
11/02/2024 23:00,0.23,8.5,53,19225,0.29,8.3,351,KNW02_Waves.xlsx,
12/02/2024 00:00,0.31,2.3,49,19223,0.39,4.7,64,KNW02_Waves.xlsx,
12/02/2024 01:00,0.21,2.3,337,19224,0.27,3.6,1,KNW02_Waves.xlsx,
12/02/2024 02:00,0.13,6.1,285,19221,0.17,8,303,KNW02_Waves.xlsx,
12/02/2024 03:00,0.44,8.5,119,19222,0.56,4.5,105,KNW02_Waves.xlsx,
12/02/2024 04:00,0.3,11.5,225,19227,0.38,6.9,207,KNW02_Waves.xlsx,
12/02/2024 05:00,0.25,11.5,149,19217,0.31,5.3,82,KNW02_Waves.xlsx,
12/02/2024 06:00,0.55,2,186,19217,0.7,4.1,26,KNW02_Waves.xlsx,
12/02/2024 07:00,0.38,2.3,125,19225,0.48,4.5,155,KNW02_Waves.xlsx,
12/02/2024 08:00,0.36,7.5,37,19213,0.45,6.5,38,KNW02_Waves.xlsx,
12/02/2024 09:00,0.52,8.5,5,19202,0.66,5.5,346,KNW02_Waves.xlsx,
12/02/2024 10:00,0.58,7.5,193,19200,0.74,4.5,179,KNW02_Waves.xlsx,
12/02/2024 11:00,0.57,8.5,191,19185,0.72,5.3,251,KNW02_Waves.xlsx,
12/02/2024 12:00,0.42,8.5,87,19169,0.53,5,108,KNW02_Waves.xlsx,
12/02/2024 13:00,0.43,7.5,229,19169,0.54,4.5,233,KNW02_Waves.xlsx,
12/02/2024 14:00,0.56,2,85,19156,0.71,3.8,118,KNW02_Waves.xlsx,
12/02/2024 15:00,0.27,6.7,273,19175,0.34,7,287,KNW02_Waves.xlsx,
12/02/2024 16:00,0.6,8.5,293,19161,0.77,4.5,305,KNW02_Waves.xlsx,
12/02/2024 17:00,0.56,8.5,225,19168,0.71,4.7,157,KNW02_Waves.xlsx,
12/02/2024 18:00,0.51,8.5,129,19168,0.64,4.7,46,KNW02_Waves.xlsx,
12/02/2024 19:00,0.63,2.6,7,19172,0.8,4.1,27,KNW02_Waves.xlsx,
12/02/2024 20:00,0.46,7.5,353,19167,0.58,4.8,301,KNW02_Waves.xlsx,
12/02/2024 21:00,0.46,8.5,134,19156,0.58,5.2,134,KNW02_Waves.xlsx,
12/02/2024 22:00,0.43,9.8,237,19152,0.55,5.2,261,KNW02_Waves.xlsx,
12/02/2024 23:00,0.35,7.5,221,19155,0.44,6.8,221,KNW02_Waves.xlsx,
13/02/2024 00:00,0.25,6.1,121,19155,0.32,7,97,KNW02_Waves.xlsx,
13/02/2024 01:00,0.54,8.5,85,19142,0.68,4.7,87,KNW02_Waves.xlsx,
13/02/2024 02:00,0.65,2,225,19153,0.82,3.4,74,KNW02_Waves.xlsx,
13/02/2024 03:00,0.44,7.5,137,19139,0.56,4.5,71,KNW02_Waves.xlsx,
13/02/2024 04:00,0.32,8.5,149,19150,0.41,7.2,134,KNW02_Waves.xlsx,
13/02/2024 05:00,0.47,7.5,5,19144,0.6,5.3,2,KNW02_Waves.xlsx,
13/02/2024 06:00,0.33,2.7,354,19155,0.42,4.4,252,KNW02_Waves.xlsx,
13/02/2024 07:00,0.33,8.5,277,19152,0.42,4.4,298,KNW02_Waves.xlsx,
